eventID,edep
0,37.769173
1,24.23577
2,33.45792
3,25.596054
4,25.3651
5,23.956017
6,28.359621
7,28.474527
8,25.625349
9,26.672268
10,29.584925
11,25.213642
12,31.092226
13,28.799093
14,30.516144
15,28.352308
16,23.038097
17,21.630371
18,22.825335
19,13.266853
20,29.933512
21,26.380653
22,22.33311
23,21.33598
24,20.116867
25,33.557312
26,25.897327
27,43.845604
28,27.144234
29,24.026672
30,28.219316
31,44.12803
32,20.79162
33,29.847927
34,25.851086
35,15.94292
36,24.859716
37,28.135881
38,27.96833
39,17.123465
40,37.412003
41,46.089447
42,43.85441
43,28.402159
44,30.894588
45,42.49665
46,26.186596
47,27.22834
48,37.358414
49,24.836197
50,29.21359
51,24.902357
52,44.779705
53,103.68551
54,40.922016
55,23.779598
56,15.106083
57,24.885427
58,27.5372
59,22.988226
60,19.281141
61,23.44245
62,25.79886
63,48.84453
64,21.572548
65,21.686167
66,22.589672
67,34.372814
68,30.799938
69,41.120342
70,24.591127
71,26.477432
72,20.878927
73,50.628048
74,30.067802
75,33.131344
76,26.587719
77,33.388332
78,23.912426
79,25.074173
80,20.25064
81,25.433962
82,24.556932
83,28.439283
84,20.21204
85,23.258095
86,32.180763
87,20.267773
88,21.86555
89,23.78444
90,31.095837
91,30.504759
92,29.694597
93,27.948172
94,24.079391
95,24.737701
96,23.35644
97,22.754148
98,30.578337
99,29.927069
100,19.428381
101,22.340393
102,26.849613
103,27.15286
104,28.37209
105,29.73397
106,22.814882
107,32.813427
108,27.114735
109,22.532463
110,61.694874
111,37.454697
112,36.910824
113,24.379364
114,23.175428
115,31.072561
116,33.671844
117,27.82688
118,29.083982
119,36.99062
120,28.215801
121,29.948742
122,44.32381
123,23.842783
124,29.168274
125,33.023746
126,24.471169
127,38.009624
128,16.296566
129,94.672615
130,33.224663
131,20.493404
132,47.33086
133,29.827555
134,25.32793
135,28.329145
136,56.796543
137,26.811699
138,28.302675
139,26.02763
140,21.795568
141,46.771553
142,17.873434
143,31.579767
144,24.404306
145,26.478502
146,19.921343
147,27.106876
148,22.083256
149,28.183952
150,23.842735
151,30.23195
152,27.314968
153,29.349588
154,29.517742
155,24.886799
156,73.07917
157,29.520597
158,21.566042
159,21.506931
160,24.918276
161,23.44282
162,25.48491
163,25.975718
164,24.425835
165,30.343863
166,30.839798
167,22.992064
168,24.122683
169,30.950043
170,63.631744
171,24.093292
172,24.472425
173,21.39491
174,26.05145
175,22.583689
176,23.416847
177,26.919353
178,25.752148
179,40.612408
180,38.674442
181,27.69156
182,25.943714
183,30.857054
184,19.53613
185,25.072649
186,65.67939
187,24.04139
188,28.247633
189,25.613369
190,18.269087
191,22.77007
192,32.522846
193,30.125221
194,23.40096
195,16.936659
196,27.019718
197,24.328527
198,29.527533
199,28.35275
200,39.00683
201,44.087013
202,23.236826
203,23.252775
204,26.81032
205,28.851402
206,16.186867
207,75.51498
208,32.372166
209,24.23985
210,24.81327
211,25.06341
212,37.456673
213,27.01807
214,32.590153
215,36.838734
216,24.129341
217,25.196304
218,66.99523
219,20.748726
220,18.29983
221,29.917795
222,28.21684
223,28.431784
224,20.100243
